Comunas;etnia;etnia2;frec;n;perc;lat;long
SAN JUAN DE LA COSTA;Pehuenche;Mapuche;2;6822;0.000293169;-40.501;-73.392
CHILE CHICO;Pehuenche;Mapuche;2;6822;0.000293169;-46.55;-71.733
PORVENIR;Pehuenche;Mapuche;2;6822;0.000293169;-53.298;-70.385
INDEPENDENCIA;Pehuenche;Mapuche;2;6822;0.000293169;-33.413;-70.666
TILTIL;Pehuenche;Mapuche;2;6822;0.000293169;-33.085;-70.925
ISLA DE MAIPO;Pehuenche;Mapuche;2;6822;0.000293169;-33.754;-70.886
MARIQUINA;Pehuenche;Mapuche;2;6822;0.000293169;-40.133;-72.333
PANGUIPULLI;Pehuenche;Mapuche;2;6822;0.000293169;-39.642;-72.34
BULNES;Pehuenche;Mapuche;2;6822;0.000293169;-36.739;-72.292
CHILLÁN VIEJO;Pehuenche;Mapuche;2;6822;0.000293169;-36.633;-72.14
YUNGAY;Pehuenche;Mapuche;2;6822;0.000293169;-24.07;-69.914
COELEMU;Pehuenche;Mapuche;2;6822;0.000293169;-36.485;-72.694
PICA;Pehuenche;Mapuche;1;6822;0.000146585;-20.483;-69.378
SIERRA GORDA;Pehuenche;Mapuche;1;6822;0.000146585;-22.898;-69.323
TALTAL;Pehuenche;Mapuche;1;6822;0.000146585;-25.41;-70.489
CALDERA;Pehuenche;Mapuche;1;6822;0.000146585;-27.066;-70.826
VALLENAR;Pehuenche;Mapuche;1;6822;0.000146585;-28.577;-70.77
MONTE PATRIA;Pehuenche;Mapuche;1;6822;0.000146585;-30.775;-70.943
PUNITAQUI;Pehuenche;Mapuche;1;6822;0.000146585;-30.833;-71.26
CASABLANCA;Pehuenche;Mapuche;1;6822;0.000146585;-33.325;-71.41
CONCÓN;Pehuenche;Mapuche;1;6822;0.000146585;-32.96;-71.469
JUAN FERNÁNDEZ;Pehuenche;Mapuche;1;6822;0.000146585;-33.633;-78.867
ISLA DE PASCUA;Pehuenche;Mapuche;1;6822;0.000146585;-27.121;-109.366
CALLE LARGA;Pehuenche;Mapuche;1;6822;0.000146585;-35.617;-71.683
CABILDO;Pehuenche;Mapuche;1;6822;0.000146585;-32.409;-71.08
HIJUELAS;Pehuenche;Mapuche;1;6822;0.000146585;-32.855;-71.094
EL TABO;Pehuenche;Mapuche;1;6822;0.000146585;-33.48;-71.621
LLAILLAY;Pehuenche;Mapuche;1;6822;0.000146585;-32.844;-70.957
PANQUEHUE;Pehuenche;Mapuche;1;6822;0.000146585;-32.784;-70.837
PUTAENDO;Pehuenche;Mapuche;1;6822;0.000146585;-32.628;-70.716
LIMACHE;Pehuenche;Mapuche;1;6822;0.000146585;-33.003;-71.261
LAS CABRAS;Pehuenche;Mapuche;1;6822;0.000146585;-34.285;-71.31
MOSTAZAL;Pehuenche;Mapuche;1;6822;0.000146585;-33.977;-70.709
PEUMO;Pehuenche;Mapuche;1;6822;0.000146585;-34.389;-71.171
RENGO;Pehuenche;Mapuche;1;6822;0.000146585;-34.402;-70.856
LITUECHE;Pehuenche;Mapuche;1;6822;0.000146585;-34.119;-71.728
NAVIDAD;Pehuenche;Mapuche;1;6822;0.000146585;-33.95;-71.833
NANCAGUA;Pehuenche;Mapuche;1;6822;0.000146585;-34.649;-71.203
PLACILLA;Pehuenche;Mapuche;1;6822;0.000146585;-34.633;-71.117
SANTA CRUZ;Pehuenche;Mapuche;1;6822;0.000146585;-34.631;-71.359
LICANTÉN;Pehuenche;Mapuche;1;6822;0.000146585;-34.983;-72
MOLINA;Pehuenche;Mapuche;1;6822;0.000146585;-35.09;-71.279
PARRAL;Pehuenche;Mapuche;1;6822;0.000146585;-36.147;-71.822
CABRERO;Pehuenche;Mapuche;1;6822;0.000146585;-37.039;-72.399
NEGRETE;Pehuenche;Mapuche;1;6822;0.000146585;-37.583;-72.517
GALVARINO;Pehuenche;Mapuche;1;6822;0.000146585;-38.4;-72.783
TEODORO SCHMIDT;Pehuenche;Mapuche;1;6822;0.000146585;-38.967;-73.05
COLLIPULLI;Pehuenche;Mapuche;1;6822;0.000146585;-37.953;-72.432
ERCILLA;Pehuenche;Mapuche;1;6822;0.000146585;-38.05;-72.383
CALBUCO;Pehuenche;Mapuche;1;6822;0.000146585;-41.758;-73.151
FRUTILLAR;Pehuenche;Mapuche;1;6822;0.000146585;-41.117;-73.1
LLANQUIHUE;Pehuenche;Mapuche;1;6822;0.000146585;-41.266;-73.012
MAULLÍN;Pehuenche;Mapuche;1;6822;0.000146585;-41.618;-73.598
QUELLÓN;Pehuenche;Mapuche;1;6822;0.000146585;-43.121;-73.608
PUERTO OCTAY;Pehuenche;Mapuche;1;6822;0.000146585;-40.967;-72.9
PURRANQUE;Pehuenche;Mapuche;1;6822;0.000146585;-40.909;-73.175
HUALAIHUÉ;Pehuenche;Mapuche;1;6822;0.000146585;-41.992;-72.667
COCHRANE;Pehuenche;Mapuche;1;6822;0.000146585;-47.267;-72.55
O'HIGGINS;Pehuenche;Mapuche;1;6822;0.000146585;-48.8;-73.183
PEDRO AGUIRRE CERDA;Pehuenche;Mapuche;1;6822;0.000146585;-33.583;-70.667
CALERA DE TANGO;Pehuenche;Mapuche;1;6822;0.000146585;-33.628;-70.785
ALHUÉ;Pehuenche;Mapuche;1;6822;0.000146585;-34.033;-71.1
MARÍA PINTO;Pehuenche;Mapuche;1;6822;0.000146585;-33.515;-71.119
SAN PEDRO;Pehuenche;Mapuche;1;6822;0.000146585;-33.9;-71.467
EL MONTE;Pehuenche;Mapuche;1;6822;0.000146585;-33.684;-71.017
LANCO;Pehuenche;Mapuche;1;6822;0.000146585;-39.447;-72.772
LOS LAGOS;Pehuenche;Mapuche;1;6822;0.000146585;-41.92;-72.142
LAGO RANCO;Pehuenche;Mapuche;1;6822;0.000146585;-40.317;-72.5
RÍO BUENO;Pehuenche;Mapuche;1;6822;0.000146585;-40.338;-72.957
PEMUCO;Pehuenche;Mapuche;1;6822;0.000146585;-36.978;-72.091
QUILLÓN;Pehuenche;Mapuche;1;6822;0.000146585;-36.738;-72.469
SAN CARLOS;Pehuenche;Mapuche;1;6822;0.000146585;-36.422;-71.959
SAN FABIÁN;Pehuenche;Mapuche;1;6822;0.000146585;-36.554;-71.549
SAN NICOLÁS;Pehuenche;Mapuche;1;6822;0.000146585;-36.883;-72.483
IQUIQUE;Huilliche;Mapuche;43;45917;0.000936472;-20.244;-70.139
ALTO HOSPICIO;Huilliche;Mapuche;20;45917;0.000435569;-20.257;-70.022
POZO ALMONTE;Huilliche;Mapuche;2;45917;4.36E-05;-20.291;-69.696
PICA;Huilliche;Mapuche;1;45917;2.18E-05;-20.483;-69.378
ANTOFAGASTA;Huilliche;Mapuche;74;45917;0.001611604;-23.651;-70.395
MEJILLONES;Huilliche;Mapuche;4;45917;8.71E-05;-23.11;-70.456
SIERRA GORDA;Huilliche;Mapuche;2;45917;4.36E-05;-22.898;-69.323
TALTAL;Huilliche;Mapuche;1;45917;2.18E-05;-25.41;-70.489
CALAMA;Huilliche;Mapuche;35;45917;0.000762245;-22.474;-68.924
OLLAGÜE;Huilliche;Mapuche;1;45917;2.18E-05;-21.233;-68.267
SAN PEDRO DE ATACAMA;Huilliche;Mapuche;5;45917;0.000108892;-22.92;-68.21
TOCOPILLA;Huilliche;Mapuche;3;45917;6.53E-05;-22.082;-70.189
MARÍA ELENA;Huilliche;Mapuche;1;45917;2.18E-05;-22.317;-69.677
COPIAPÓ;Huilliche;Mapuche;21;45917;0.000457347;-27.375;-70.329
CALDERA;Huilliche;Mapuche;7;45917;0.000152449;-27.066;-70.826
